date,dataset,features_prc,all_features,random_features,fisher,relief,chi_square,mrmr,shirs_algo,kmeans_0.0,kmeans_0.2,kmeans_0.35,kmeans_0.5,notes,max_tausformer,max_others,best_dm_config,kmeans_0
04-03-2023,gene_data,0.02,0.9975,0.994,0.991,0.419,0.997,0.996,,,,,,,,,,
04-03-2023,gene_data,0.05,0.9975,0.995,0.995,0.904,0.997,0.996,,,,,,,,,,
08-03-2023,credit_score_balanced,0.05,0.7406,0.492,0.358,0.652,0.605,0.589,,0.652,0.334,0.381,0.468,,,,,
08-03-2023,credit_score_balanced,0.1,0.7406,0.477,0.442,0.648,0.584,0.597,,0.696,0.474,0.524,0.624,,,,,
08-03-2023,credit_score_balanced,0.2,0.7406,0.61,0.562,0.718,0.663,0.675,,0.674,0.674,0.623,0.604,,,,,
08-03-2023,credit_score_balanced,0.3,0.7406,0.71,0.608,0.737,0.721,0.724,,0.69,0.69,0.713,0.704,,,,,
08-03-2023,credit_score_balanced,0.5,0.7406,0.718,0.683,0.735,0.733,0.735,,0.717,0.717,0.717,0.717,,,,,
10-02-2023,adware_balanced,0.02,0.344,0.164,0.201,0.217,0.181,0.209,,0.181,0.166,0.214,0.211,,,,,
10-02-2023,adware_balanced,0.05,0.344,0.247,0.222,0.251,0.204,0.255,,0.224,0.224,0.262,0.231,,,,,
10-02-2023,adware_balanced,0.1,0.344,0.306,0.258,0.271,0.254,0.295,,0.277,0.277,0.288,0.273,,,,,
10-02-2023,adware_balanced,0.2,0.344,0.333,0.311,0.313,0.297,0.31,,0.338,0.338,0.338,0.337,,,,,
10-02-2023,adware_balanced,0.3,0.344,0.335,0.314,0.323,0.314,0.324,,0.345,0.345,0.345,0.329,,,,,
10-02-2023,adware_balanced,0.5,0.344,0.339,0.322,0.344,0.336,0.336,,0.343,0.343,0.343,0.343,,,,,
10-02-2023,digits,0.02,0.987,0.792,0.843,0.836,0.76,0.964,,0.906,0.765,0.898,0.82,,,,,
10-02-2023,digits,0.05,0.987,0.96,0.923,0.955,0.918,0.98,,0.96,0.889,0.946,0.926,,,,,
10-02-2023,digits,0.1,0.987,0.972,0.942,0.974,0.955,0.984,,0.976,0.952,0.954,0.977,,,,,
10-02-2023,digits,0.2,0.987,0.978,0.976,0.982,0.98,0.988,,0.984,0.984,0.976,0.981,,,,,
10-02-2023,digits,0.3,0.987,0.983,0.976,0.984,0.984,0.988,,0.984,0.984,0.975,0.988,,,,,
10-02-2023,digits,0.5,0.987,0.986,0.978,0.98,0.987,0.987,,0.987,0.987,0.987,0.987,,,,,
10-02-2023,isolet,0.02,0.9419,0.596,0.498,0.27,0.315,0.589,,0.737,0.661,0.629,0.696,,,,,
10-02-2023,isolet,0.05,0.9419,0.81,0.732,0.333,0.432,0.783,,0.862,0.829,0.831,0.849,,,,,
10-02-2023,isolet,0.1,0.9419,0.871,0.869,0.476,0.777,0.865,,0.904,0.88,0.891,0.891,,,,,
10-02-2023,isolet,0.2,0.9419,0.912,0.913,0.857,0.886,0.92,,0.926,0.926,0.918,0.922,,,,,
10-02-2023,isolet,0.3,0.9419,0.93,0.921,0.901,0.909,0.93,,0.935,0.935,0.93,0.93,,,,,
10-02-2023,isolet,0.5,0.9419,0.936,0.938,0.931,0.934,0.939,,0.938,0.938,0.938,0.938,,,,,
10-02-2023,ml_multiclass_classification_data,0.05,0.573,0.153,0.154,0.152,0.164,0.16,,0.162,0.162,0.169,0.17,,,,,
10-02-2023,ml_multiclass_classification_data,0.1,0.573,0.167,0.186,0.188,0.192,0.192,,0.204,0.214,0.213,0.204,,,,,
