feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.2243,7.480333
0.02,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.2243,7.42981
0.02,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.2243,7.413818
0.02,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.2243,7.420895
0.02,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.2243,7.442524
0.02,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.2243,7.447027
0.02,0.5,"[25, 25]",hellinger,0.2243,1.776793
0.02,0.5,"[100, 10]",hellinger,0.2243,1.738888
0.02,0.5,"[50, 50]",hellinger,0.2243,1.745346
0.02,0.5,"[10, 100]",hellinger,0.2243,1.730169
0.02,0.5,"[25, 50]",hellinger,0.2243,1.74397
0.02,0.5,"[50, 25]",hellinger,0.2243,1.772698
0.02,0.35,"[25, 25]",wasserstein,0.2144,1.699433
0.02,0.35,"[100, 10]",wasserstein,0.2144,1.716392
0.02,0.35,"[50, 50]",wasserstein,0.2144,1.712946
0.02,0.35,"[10, 100]",wasserstein,0.2144,1.73387
0.02,0.35,"[25, 50]",wasserstein,0.2144,1.746927
0.02,0.35,"[50, 25]",wasserstein,0.2144,1.757922
0.02,0.5,"[25, 25]",wasserstein,0.2112,3.189441
0.02,0.5,"[100, 10]",wasserstein,0.2112,3.140676
0.02,0.5,"[50, 50]",wasserstein,0.2112,3.174197
0.02,0.5,"[10, 100]",wasserstein,0.2112,3.104823
0.02,0.5,"[25, 50]",wasserstein,0.2112,3.162967
0.02,0.5,"[50, 25]",wasserstein,0.2112,3.156007
0.02,0.5,"[25, 25]",jm,0.2103,1.569226
0.02,0.5,"[100, 10]",jm,0.2103,1.554335
0.02,0.5,"[50, 50]",jm,0.2103,1.556074
0.02,0.5,"[10, 100]",jm,0.2103,1.550724
0.02,0.5,"[25, 50]",jm,0.2103,1.584935
0.02,0.5,"[50, 25]",jm,0.2103,1.543154
0.02,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.2099,6.966777
0.02,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.2099,6.9765
0.02,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.2099,6.964485
0.02,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.2099,6.939572
0.02,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.2099,6.995392
0.02,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.2099,6.957632
0.02,0.35,"[25, 25]",jm,0.2078,1.775096
0.02,0.35,"[100, 10]",jm,0.2078,1.81341
0.02,0.35,"[50, 50]",jm,0.2078,1.798041
0.02,0.35,"[10, 100]",jm,0.2078,1.791502
0.02,0.35,"[25, 50]",jm,0.2078,1.780601
0.02,0.35,"[50, 25]",jm,0.2078,1.776023
0.02,0.5,"[25, 25]","['wasserstein', 'jm']",0.2076,7.096058
0.02,0.5,"[100, 10]","['wasserstein', 'jm']",0.2076,7.07526
0.02,0.5,"[50, 50]","['wasserstein', 'jm']",0.2076,7.057627
0.02,0.5,"[10, 100]","['wasserstein', 'jm']",0.2076,7.03795
0.02,0.5,"[25, 50]","['wasserstein', 'jm']",0.2076,7.13415
0.02,0.5,"[50, 25]","['wasserstein', 'jm']",0.2076,7.105241
0.02,0.0,"[25, 25]",jm,0.2072,2.762522
0.02,0.0,"[100, 10]",jm,0.2072,1.696175
0.02,0.0,"[50, 50]",jm,0.2072,2.378738
0.02,0.0,"[10, 100]",jm,0.2072,1.694239
0.02,0.0,"[25, 50]",jm,0.2072,1.709992
0.02,0.0,"[50, 25]",jm,0.2072,1.714754
0.02,0.35,"[25, 25]",hellinger,0.2037,1.601112
0.02,0.35,"[100, 10]",hellinger,0.2037,1.627611
0.02,0.35,"[50, 50]",hellinger,0.2037,1.604934
0.02,0.35,"[10, 100]",hellinger,0.2037,1.649614
0.02,0.35,"[25, 50]",hellinger,0.2037,1.616176
0.02,0.35,"[50, 25]",hellinger,0.2037,1.601611
0.02,0.2,"[25, 25]",jm,0.2036,1.530416
0.02,0.2,"[100, 10]",jm,0.2036,1.505719
0.02,0.2,"[50, 50]",jm,0.2036,1.519275
0.02,0.2,"[10, 100]",jm,0.2036,1.544323
0.02,0.2,"[25, 50]",jm,0.2036,1.543969
0.02,0.2,"[50, 25]",jm,0.2036,1.53884
0.02,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.2016,6.793859
0.02,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.2016,6.744465
0.02,0.5,"[50, 50]","['wasserstein', 'hellinger']",0.2016,6.790235
0.02,0.5,"[10, 100]","['wasserstein', 'hellinger']",0.2016,6.770104
0.02,0.5,"[25, 50]","['wasserstein', 'hellinger']",0.2016,6.781455
0.02,0.5,"[50, 25]","['wasserstein', 'hellinger']",0.2016,6.81337
0.02,0.5,"[25, 25]","['jm', 'hellinger']",0.1929,7.092776
0.02,0.5,"[100, 10]","['jm', 'hellinger']",0.1929,7.006432
0.02,0.5,"[50, 50]","['jm', 'hellinger']",0.1929,7.040564
0.02,0.5,"[10, 100]","['jm', 'hellinger']",0.1929,7.063001
0.02,0.5,"[25, 50]","['jm', 'hellinger']",0.1929,7.05765
0.02,0.5,"[50, 25]","['jm', 'hellinger']",0.1929,7.112094
0.02,0.0,"[25, 25]","['jm', 'hellinger']",0.1928,7.3164
