feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.0,"[10, 100]",jm,0.9635,5.044233
0.02,0.0,"[100, 10]",jm,0.9595,5.245634
0.02,0.0,"[25, 25]",jm,0.958,7.121287
0.02,0.0,"[25, 50]",jm,0.958,5.148693
0.02,0.0,"[50, 50]",jm,0.954,5.157772
0.02,0.0,"[50, 25]",jm,0.954,5.17619
0.02,0.35,"[25, 50]","['wasserstein', 'jm']",0.948,11.763559
0.02,0.35,"[25, 25]","['wasserstein', 'jm']",0.946,11.947851
0.02,0.35,"[25, 25]",jm,0.9455,4.910752
0.02,0.35,"[25, 50]",jm,0.9455,4.903088
0.02,0.35,"[10, 100]","['wasserstein', 'jm']",0.9435,11.763694
0.02,0.35,"[10, 100]",jm,0.9415,4.889331
0.02,0.35,"[100, 10]","['wasserstein', 'jm']",0.941,11.82038
0.02,0.0,"[10, 100]","['wasserstein', 'jm']",0.94,12.062614
0.02,0.5,"[50, 50]","['wasserstein', 'jm']",0.94,11.600141
0.02,0.5,"[50, 25]","['wasserstein', 'jm']",0.94,11.590348
0.02,0.35,"[50, 50]",jm,0.939,4.961869
0.02,0.35,"[50, 25]",jm,0.939,5.030362
0.02,0.5,"[10, 100]","['wasserstein', 'jm']",0.938,11.468214
0.02,0.5,"[25, 25]",jm,0.936,4.889043
0.02,0.5,"[25, 50]",jm,0.936,4.852967
0.02,0.2,"[10, 100]",jm,0.9355,4.943106
0.02,0.2,"[25, 25]",jm,0.9325,5.079873
0.02,0.2,"[25, 25]","['wasserstein', 'jm']",0.9325,11.993969
0.02,0.2,"[25, 50]",jm,0.9325,5.002484
0.02,0.35,"[100, 10]",jm,0.9315,4.919101
0.02,0.35,"[50, 50]","['wasserstein', 'jm']",0.9315,11.765467
0.02,0.35,"[50, 25]","['wasserstein', 'jm']",0.9315,11.794516
0.02,0.2,"[25, 50]","['wasserstein', 'jm']",0.931,12.048407
0.02,0.5,"[25, 25]","['wasserstein', 'jm']",0.931,11.567431
0.02,0.5,"[25, 50]","['wasserstein', 'jm']",0.931,11.546169
0.02,0.2,"[10, 100]","['wasserstein', 'jm']",0.9305,11.964674
0.02,0.0,"[100, 10]","['jm', 'hellinger']",0.924,12.077358
0.02,0.5,"[10, 100]",jm,0.923,4.918812
0.02,0.2,"[100, 10]",jm,0.921,5.059455
0.02,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.9205,13.072056
0.02,0.0,"[25, 25]","['wasserstein', 'jm']",0.9185,14.750903
0.02,0.0,"[25, 50]","['wasserstein', 'jm']",0.915,12.130129
0.02,0.2,"[50, 50]",jm,0.9145,5.111158
0.02,0.2,"[50, 25]",jm,0.9145,5.101581
0.02,0.5,"[50, 50]",jm,0.9125,4.937768
0.02,0.5,"[50, 25]",jm,0.9125,4.826553
0.02,0.2,"[50, 50]","['wasserstein', 'jm']",0.9115,11.99273
0.02,0.5,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.9115,12.719958
0.02,0.5,"[100, 10]","['wasserstein', 'jm']",0.91,11.559161
0.02,0.5,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.91,12.59266
0.02,0.5,"[50, 25]","['jm', 'hellinger']",0.9095,11.655705
0.02,0.0,"[50, 50]","['wasserstein', 'jm']",0.9085,12.024057
0.02,0.0,"[50, 25]","['wasserstein', 'jm']",0.9085,12.118583
0.02,0.2,"[50, 25]","['wasserstein', 'jm']",0.9075,11.977289
0.02,0.0,"[25, 25]","['jm', 'hellinger']",0.9065,12.502082
0.02,0.0,"[25, 50]","['jm', 'hellinger']",0.9065,12.41916
0.02,0.0,"[50, 50]",wasserstein,0.906,4.193545
0.02,0.0,"[50, 25]",wasserstein,0.906,4.036158
0.02,0.2,"[100, 10]","['wasserstein', 'jm']",0.9055,12.012423
0.02,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.904,12.794957
0.02,0.5,"[50, 50]","['jm', 'hellinger']",0.9035,11.630606
0.02,0.0,"[25, 25]",wasserstein,0.903,4.195834
0.02,0.0,"[25, 50]",wasserstein,0.903,4.136793
0.02,0.5,"[100, 10]",jm,0.8995,4.877774
0.02,0.5,"[50, 50]","['wasserstein', 'hellinger']",0.8985,10.719768
0.02,0.5,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.8985,12.54089
0.02,0.0,"[100, 10]",hellinger,0.8975,4.159645
0.02,0.35,"[50, 50]",wasserstein,0.8975,3.842598
0.02,0.35,"[50, 25]",wasserstein,0.8975,3.9129
0.02,0.5,"[10, 100]","['jm', 'hellinger']",0.8975,11.602105
0.02,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.897,10.850582
0.02,0.5,"[50, 25]","['wasserstein', 'hellinger']",0.8945,10.774799
0.02,0.0,"[10, 100]",wasserstein,0.8935,4.053059
0.02,0.0,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.8925,13.331106
0.02,0.0,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.8925,13.47512
0.02,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.8925,10.855435
0.02,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.892,11.235886
0.02,0.0,"[100, 10]",wasserstein,0.8915,4.115699
0.02,0.35,"[10, 100]","['jm', 'hellinger']",0.8905,11.872237
0.02,0.35,"[10, 100]",wasserstein,0.8895,3.823141
0.02,0.35,"[100, 10]",wasserstein,0.8855,3.874031
0.02,0.35,"[25, 25]",wasserstein,0.883,3.811329
0.02,0.35,"[25, 50]",wasserstein,0.883,3.962237
0.02,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.8775,10.930955
0.02,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.8765,10.896043
0.02,0.35,"[50, 50]",hellinger,0.8755,3.886856
0.02,0.35,"[50, 25]",hellinger,0.8755,4.141827
0.02,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.875,12.672134
0.02,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.874,12.719122
0.02,0.2,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.8715,12.861485
0.02,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.871,11.001845
