feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.0,"[100, 10]",wasserstein,0.751123,30.90002
0.02,0.0,"[50, 50]",wasserstein,0.737011,30.96953
0.02,0.0,"[50, 25]",wasserstein,0.737011,31.457141
0.02,0.0,"[25, 25]",wasserstein,0.722386,31.085575
0.02,0.0,"[25, 50]",wasserstein,0.722386,31.06881
0.02,0.0,"[10, 100]",wasserstein,0.697627,30.459168
0.02,0.5,"[50, 50]",wasserstein,0.696472,31.004472
0.02,0.5,"[50, 25]",wasserstein,0.696472,31.261241
0.02,0.5,"[100, 10]",wasserstein,0.691469,31.262498
0.02,0.5,"[25, 25]",wasserstein,0.679795,31.229568
0.02,0.5,"[25, 50]",wasserstein,0.679795,31.094177
0.02,0.2,"[100, 10]",wasserstein,0.66594,31.517918
0.02,0.2,"[25, 25]",wasserstein,0.662091,31.516544
0.02,0.2,"[25, 50]",wasserstein,0.662091,31.618318
0.02,0.2,"[50, 50]",wasserstein,0.66068,31.695902
0.02,0.2,"[50, 25]",wasserstein,0.66068,31.560327
0.02,0.2,"[10, 100]",wasserstein,0.655164,30.839732
0.02,0.35,"[25, 25]",wasserstein,0.649134,31.183731
0.02,0.35,"[25, 50]",wasserstein,0.649134,31.05988
0.02,0.5,"[10, 100]",wasserstein,0.640154,30.120065
0.02,0.35,"[100, 10]",wasserstein,0.636562,31.28449
0.02,0.0,"[50, 50]",jm,0.635664,32.609629
0.02,0.0,"[50, 25]",jm,0.635664,32.721165
0.02,0.35,"[10, 100]",wasserstein,0.630019,33.448467
0.02,0.35,"[50, 50]",wasserstein,0.628993,31.174897
0.02,0.35,"[50, 25]",wasserstein,0.628993,31.402584
0.02,0.5,"[100, 10]",jm,0.617447,33.185413
0.02,0.5,"[50, 50]",jm,0.613983,33.119218
0.02,0.5,"[50, 25]",jm,0.613983,32.982685
0.02,0.0,"[10, 100]","['jm', 'hellinger']",0.609878,47.003879
0.02,0.5,"[100, 10]","['wasserstein', 'jm']",0.607697,47.160957
0.02,0.0,"[50, 50]","['wasserstein', 'jm']",0.605901,46.564048
0.02,0.0,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.605516,53.60013
0.02,0.0,"[100, 10]",jm,0.605388,32.667679
0.02,0.5,"[50, 50]","['wasserstein', 'jm']",0.602309,46.003554
0.02,0.35,"[100, 10]","['wasserstein', 'jm']",0.601026,46.544197
0.02,0.0,"[50, 25]","['wasserstein', 'jm']",0.598589,46.099773
0.02,0.0,"[100, 10]","['wasserstein', 'jm']",0.597691,46.156154
0.02,0.0,"[25, 25]",jm,0.588454,33.879993
0.02,0.0,"[25, 50]",jm,0.588454,32.816956
0.02,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.587043,53.708552
0.02,0.5,"[50, 25]","['wasserstein', 'jm']",0.584862,47.161458
0.02,0.0,"[25, 50]","['wasserstein', 'jm']",0.581655,46.118285
0.02,0.0,"[10, 100]",jm,0.579217,32.581713
0.02,0.0,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.578319,53.576453
