feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.05,0.0,"[25, 25]","['wasserstein', 'jm']",0.172,6.108251
0.05,0.0,"[100, 10]","['wasserstein', 'jm']",0.172,6.081916
0.05,0.0,"[50, 50]","['wasserstein', 'jm']",0.172,6.083215
0.05,0.0,"[10, 100]","['wasserstein', 'jm']",0.172,6.065385
0.05,0.0,"[25, 50]","['wasserstein', 'jm']",0.172,6.078086
0.05,0.0,"[50, 25]","['wasserstein', 'jm']",0.172,6.112201
0.05,0.2,"[25, 25]","['wasserstein', 'jm']",0.172,6.094099
0.05,0.2,"[100, 10]","['wasserstein', 'jm']",0.172,6.121303
0.05,0.2,"[50, 50]","['wasserstein', 'jm']",0.172,6.178542
0.05,0.2,"[10, 100]","['wasserstein', 'jm']",0.172,6.129231
0.05,0.2,"[25, 50]","['wasserstein', 'jm']",0.172,6.15094
0.05,0.2,"[50, 25]","['wasserstein', 'jm']",0.172,6.09166
0.05,0.35,"[25, 25]","['jm', 'hellinger']",0.171,6.082594
0.05,0.35,"[100, 10]","['jm', 'hellinger']",0.171,6.074055
0.05,0.35,"[50, 50]","['jm', 'hellinger']",0.171,6.09474
0.05,0.35,"[10, 100]","['jm', 'hellinger']",0.171,6.081183
0.05,0.35,"[25, 50]","['jm', 'hellinger']",0.171,6.117617
0.05,0.35,"[50, 25]","['jm', 'hellinger']",0.171,6.080119
0.05,0.5,"[25, 25]",wasserstein,0.17,0.742617
0.05,0.5,"[100, 10]",wasserstein,0.17,0.742014
0.05,0.5,"[50, 50]",wasserstein,0.17,0.750377
0.05,0.5,"[10, 100]",wasserstein,0.17,0.748706
0.05,0.5,"[25, 50]",wasserstein,0.17,0.753011
0.05,0.5,"[50, 25]",wasserstein,0.17,0.7531
0.05,0.35,"[25, 25]",wasserstein,0.169,0.744076
0.05,0.35,"[100, 10]",wasserstein,0.169,0.741093
0.05,0.35,"[50, 50]",wasserstein,0.169,0.740741
0.05,0.35,"[10, 100]",wasserstein,0.169,0.74853
0.05,0.35,"[25, 50]",wasserstein,0.169,0.739359
0.05,0.35,"[50, 25]",wasserstein,0.169,0.789771
0.05,0.5,"[25, 25]","['jm', 'hellinger']",0.169,6.088173
0.05,0.5,"[100, 10]","['jm', 'hellinger']",0.169,6.087006
0.05,0.5,"[50, 50]","['jm', 'hellinger']",0.169,6.121734
0.05,0.5,"[10, 100]","['jm', 'hellinger']",0.169,6.10012
0.05,0.5,"[25, 50]","['jm', 'hellinger']",0.169,6.105244
0.05,0.5,"[50, 25]","['jm', 'hellinger']",0.169,6.097077
0.05,0.35,"[25, 25]","['wasserstein', 'jm']",0.164,6.130313
0.05,0.35,"[100, 10]","['wasserstein', 'jm']",0.164,6.096631
0.05,0.35,"[50, 50]","['wasserstein', 'jm']",0.164,6.085709
0.05,0.35,"[10, 100]","['wasserstein', 'jm']",0.164,6.100841
0.05,0.35,"[25, 50]","['wasserstein', 'jm']",0.164,6.114738
0.05,0.35,"[50, 25]","['wasserstein', 'jm']",0.164,6.09193
0.05,0.0,"[25, 25]",wasserstein,0.162,0.779304
0.05,0.0,"[100, 10]",wasserstein,0.162,0.740373
0.05,0.0,"[50, 50]",wasserstein,0.162,0.753781
0.05,0.0,"[10, 100]",wasserstein,0.162,0.739273
0.05,0.0,"[25, 50]",wasserstein,0.162,0.744808
0.05,0.0,"[50, 25]",wasserstein,0.162,0.736972
0.05,0.2,"[25, 25]",wasserstein,0.162,0.752782
0.05,0.2,"[100, 10]",wasserstein,0.162,0.746327
0.05,0.2,"[50, 50]",wasserstein,0.162,0.743966
0.05,0.2,"[10, 100]",wasserstein,0.162,0.75731
0.05,0.2,"[25, 50]",wasserstein,0.162,0.739361
0.05,0.2,"[50, 25]",wasserstein,0.162,0.739093
0.05,0.0,"[25, 25]",jm,0.16,0.589581
0.05,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.16,6.086581
0.05,0.0,"[25, 25]","['jm', 'hellinger']",0.16,6.101158
0.05,0.0,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.16,6.420774
0.05,0.0,"[100, 10]",jm,0.16,0.598451
0.05,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.16,6.122346
0.05,0.0,"[100, 10]","['jm', 'hellinger']",0.16,6.086111
0.05,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.16,6.407256
0.05,0.0,"[50, 50]",jm,0.16,0.606272
0.05,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.16,6.08062
0.05,0.0,"[50, 50]","['jm', 'hellinger']",0.16,6.096396
0.05,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.16,6.381114
0.05,0.0,"[10, 100]",jm,0.16,0.60545
0.05,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.16,6.357365
0.05,0.0,"[10, 100]","['jm', 'hellinger']",0.16,6.133522
0.05,0.0,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.16,6.361097
0.05,0.0,"[25, 50]",jm,0.16,0.605846
0.05,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.16,6.074181
0.05,0.0,"[25, 50]","['jm', 'hellinger']",0.16,6.118758
0.05,0.0,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.16,6.392967
0.05,0.0,"[50, 25]",jm,0.16,0.636019
0.05,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.16,6.069327
0.05,0.0,"[50, 25]","['jm', 'hellinger']",0.16,6.089417
0.05,0.0,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.16,6.401285
0.05,0.2,"[25, 25]",jm,0.16,0.59845
0.05,0.2,"[25, 25]","['wasserstein', 'hellinger']",0.16,6.084606
0.05,0.2,"[100, 10]",jm,0.16,0.608486
0.05,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.16,6.132853
0.05,0.2,"[50, 50]",jm,0.16,0.59539
0.05,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.16,6.119852
0.05,0.2,"[10, 100]",jm,0.16,0.614869
0.05,0.2,"[10, 100]","['wasserstein', 'hellinger']",0.16,6.178757
0.05,0.2,"[25, 50]",jm,0.16,0.629008
0.05,0.2,"[25, 50]","['wasserstein', 'hellinger']",0.16,6.107957
0.05,0.2,"[50, 25]",jm,0.16,0.606208
0.05,0.2,"[50, 25]","['wasserstein', 'hellinger']",0.16,6.128794
0.05,0.2,"[25, 25]",hellinger,0.157,0.579143
0.05,0.2,"[100, 10]",hellinger,0.157,0.589395
0.05,0.2,"[50, 50]",hellinger,0.157,0.585874
0.05,0.2,"[10, 100]",hellinger,0.157,0.584669
0.05,0.2,"[25, 50]",hellinger,0.157,0.571046
0.05,0.2,"[50, 25]",hellinger,0.157,0.581218
0.05,0.2,"[25, 25]","['jm', 'hellinger']",0.154,6.113203
0.05,0.2,"[100, 10]","['jm', 'hellinger']",0.154,6.128846
0.05,0.2,"[50, 50]","['jm', 'hellinger']",0.154,6.150831
0.05,0.2,"[10, 100]","['jm', 'hellinger']",0.154,6.114606
0.05,0.2,"[25, 50]","['jm', 'hellinger']",0.154,6.124098
0.05,0.2,"[50, 25]","['jm', 'hellinger']",0.154,6.108095
0.05,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.154,6.090288
0.05,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.154,6.407394
0.05,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.154,6.062457
0.05,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.154,6.395282
0.05,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.154,6.047151
0.05,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.154,6.431504
0.05,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.154,6.09905
0.05,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.154,6.407344
0.05,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.154,6.07784
0.05,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.154,6.431349
0.05,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.154,6.100055
0.05,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.154,6.398347
0.05,0.5,"[25, 25]",hellinger,0.154,0.585243
0.05,0.5,"[100, 10]",hellinger,0.154,0.571069
0.05,0.5,"[50, 50]",hellinger,0.154,0.591392
0.05,0.5,"[10, 100]",hellinger,0.154,0.583469
0.05,0.5,"[25, 50]",hellinger,0.154,0.591898
0.05,0.5,"[50, 25]",hellinger,0.154,0.586312
0.05,0.0,"[25, 25]",hellinger,0.152,0.586469
0.05,0.0,"[100, 10]",hellinger,0.152,0.608736
0.05,0.0,"[50, 50]",hellinger,0.152,0.599256
0.05,0.0,"[10, 100]",hellinger,0.152,0.586208
0.05,0.0,"[25, 50]",hellinger,0.152,0.590401
0.05,0.0,"[50, 25]",hellinger,0.152,0.589911
0.05,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.152,6.062008
0.05,0.5,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.152,6.42422
0.05,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.152,6.087993
