feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.0,"[25, 25]",wasserstein,0.2342,1.66812
0.02,0.0,"[100, 10]",wasserstein,0.2342,1.682832
0.02,0.0,"[50, 50]",wasserstein,0.2342,1.691472
0.02,0.0,"[10, 100]",wasserstein,0.2342,1.684255
0.02,0.0,"[25, 50]",wasserstein,0.2342,1.729314
0.02,0.0,"[50, 25]",wasserstein,0.2342,1.700708
0.02,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.2216,8.651912
0.02,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.2216,8.633907
0.02,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.2216,8.779911
0.02,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.2216,8.624231
0.02,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.2216,8.617036
0.02,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.2216,8.633997
0.02,0.5,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.1992,9.065819
0.02,0.5,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.1992,9.039726
0.02,0.5,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.1992,9.057791
0.02,0.5,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.1992,9.08164
0.02,0.5,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.1992,9.072406
0.02,0.5,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.1992,9.069105
0.02,0.5,"[25, 25]","['wasserstein', 'jm']",0.193,8.149728
0.02,0.5,"[100, 10]","['wasserstein', 'jm']",0.193,8.11018
0.02,0.5,"[50, 50]","['wasserstein', 'jm']",0.193,8.117858
0.02,0.5,"[10, 100]","['wasserstein', 'jm']",0.193,8.190005
0.02,0.5,"[25, 50]","['wasserstein', 'jm']",0.193,8.170738
0.02,0.5,"[50, 25]","['wasserstein', 'jm']",0.193,8.103252
0.02,0.5,"[25, 25]","['jm', 'hellinger']",0.1896,8.547865
0.02,0.5,"[100, 10]","['jm', 'hellinger']",0.1896,8.513004
0.02,0.5,"[50, 50]","['jm', 'hellinger']",0.1896,8.572501
0.02,0.5,"[10, 100]","['jm', 'hellinger']",0.1896,8.507133
0.02,0.5,"[25, 50]","['jm', 'hellinger']",0.1896,8.541308
0.02,0.5,"[50, 25]","['jm', 'hellinger']",0.1896,8.571115
0.02,0.35,"[25, 25]","['wasserstein', 'jm']",0.1858,8.147757
0.02,0.35,"[100, 10]","['wasserstein', 'jm']",0.1858,8.10826
0.02,0.35,"[50, 50]","['wasserstein', 'jm']",0.1858,8.14965
0.02,0.35,"[10, 100]","['wasserstein', 'jm']",0.1858,8.132156
0.02,0.35,"[25, 50]","['wasserstein', 'jm']",0.1858,8.135385
0.02,0.35,"[50, 25]","['wasserstein', 'jm']",0.1858,8.138786
0.02,0.35,"[25, 25]","['jm', 'hellinger']",0.1833,8.52939
0.02,0.35,"[100, 10]","['jm', 'hellinger']",0.1833,8.512141
0.02,0.35,"[50, 50]","['jm', 'hellinger']",0.1833,8.507855
0.02,0.35,"[10, 100]","['jm', 'hellinger']",0.1833,8.59487
0.02,0.35,"[25, 50]","['jm', 'hellinger']",0.1833,8.509885
0.02,0.35,"[50, 25]","['jm', 'hellinger']",0.1833,8.539017
0.02,0.5,"[25, 25]",wasserstein,0.1723,1.730651
0.02,0.5,"[100, 10]",wasserstein,0.1723,1.722749
0.02,0.5,"[50, 50]",wasserstein,0.1723,1.708237
0.02,0.5,"[10, 100]",wasserstein,0.1723,1.712483
0.02,0.5,"[25, 50]",wasserstein,0.1723,1.719738
0.02,0.5,"[50, 25]",wasserstein,0.1723,1.705849
0.02,0.2,"[25, 25]","['wasserstein', 'hellinger']",0.1718,8.637579
0.02,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.1718,9.152183
0.02,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.1718,8.616998
0.02,0.2,"[10, 100]","['wasserstein', 'hellinger']",0.1718,8.611377
0.02,0.2,"[25, 50]","['wasserstein', 'hellinger']",0.1718,8.570156
0.02,0.2,"[50, 25]","['wasserstein', 'hellinger']",0.1718,8.578364
0.02,0.0,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.1701,9.151895
0.02,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.1701,9.153371
0.02,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.1701,9.157832
0.02,0.0,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.1701,9.125006
0.02,0.0,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.1701,9.085911
0.02,0.0,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.1701,9.075109
0.02,0.2,"[25, 25]",hellinger,0.1676,2.134502
0.02,0.2,"[100, 10]",hellinger,0.1676,2.074241
0.02,0.2,"[50, 50]",hellinger,0.1676,2.0477
0.02,0.2,"[10, 100]",hellinger,0.1676,2.0512
0.02,0.2,"[25, 50]",hellinger,0.1676,2.06149
0.02,0.2,"[50, 25]",hellinger,0.1676,2.060307
0.02,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.1655,9.029531
0.02,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.1655,9.0208
0.02,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.1655,9.083577
0.02,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.1655,9.062724
0.02,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.1655,9.086106
0.02,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.1655,9.059539
0.02,0.5,"[25, 25]",jm,0.1651,1.410684
0.02,0.5,"[100, 10]",jm,0.1651,1.418284
0.02,0.5,"[50, 50]",jm,0.1651,1.44103
0.02,0.5,"[10, 100]",jm,0.1651,1.420273
0.02,0.5,"[25, 50]",jm,0.1651,1.419776
0.02,0.5,"[50, 25]",jm,0.1651,1.444089
0.02,0.0,"[25, 25]","['wasserstein', 'jm']",0.1625,8.136644
0.02,0.0,"[25, 25]","['jm', 'hellinger']",0.1625,8.59106
0.02,0.0,"[100, 10]","['wasserstein', 'jm']",0.1625,8.160025
0.02,0.0,"[100, 10]","['jm', 'hellinger']",0.1625,8.586417
0.02,0.0,"[50, 50]","['wasserstein', 'jm']",0.1625,8.184199
0.02,0.0,"[50, 50]","['jm', 'hellinger']",0.1625,8.546548
0.02,0.0,"[10, 100]","['wasserstein', 'jm']",0.1625,8.124904
0.02,0.0,"[10, 100]","['jm', 'hellinger']",0.1625,8.594668
0.02,0.0,"[25, 50]","['wasserstein', 'jm']",0.1625,8.204294
0.02,0.0,"[25, 50]","['jm', 'hellinger']",0.1625,8.559606
0.02,0.0,"[50, 25]","['wasserstein', 'jm']",0.1625,8.160984
0.02,0.0,"[50, 25]","['jm', 'hellinger']",0.1625,8.537159
0.02,0.2,"[25, 25]",wasserstein,0.1584,1.680084
0.02,0.2,"[100, 10]",wasserstein,0.1584,1.671034
0.02,0.2,"[50, 50]",wasserstein,0.1584,1.691805
0.02,0.2,"[10, 100]",wasserstein,0.1584,1.663162
0.02,0.2,"[25, 50]",wasserstein,0.1584,1.665625
0.02,0.2,"[50, 25]",wasserstein,0.1584,1.671927
0.02,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.1552,8.602135
0.02,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.1552,8.56698
