date,dataset,features_prc,dm_dim,all_features,random_features,fisher,relief,chi_square,mrmr,shirs_algo,kmeans_0.0,kmeans_0.2,kmeans_0.35,kmeans_0.5
14-09-2022,adware,0.02,2,7.163,0.641,16.621,2.396,0.585,0.877,,1.045,1.764,1.904,2.196
14-09-2022,adware,0.05,2,7.163,0.914,22.257,4.119,0.729,2.527,,3.28,4.467,3.106,3.822
14-09-2022,adware,0.1,2,7.163,2.219,15.816,4.374,0.78,3.083,,2.739,2.946,2.969,3.219
14-09-2022,adware,0.2,2,7.163,3.453,20.483,6.429,1.461,4.373,,3.392,3.878,4.652,4.388
14-09-2022,adware,0.3,2,7.163,2.734,17.885,5.574,1.731,4.067,,3.81,3.864,3.947,4.161
14-09-2022,adware,0.5,2,7.163,3.786,16.802,6.412,2.287,6.064,,5.125,5.07,5.481,
10-08-2022,adware_balanced,0.02,2,,,,,,,,5.885,6.144,6.187,6.123
12-08-2022,adware_balanced,0.02,2,,,,,,,,7.113,8.39,8.05,8.535
12-09-2022,adware_balanced,0.02,2,,,,,,,,6.424,6.404,6.818,6.348
14-09-2022,adware_balanced,0.02,2,8.164,0.848,11.506,6.308,0.702,0.988,,0.988,1.151,3.348,2.135
10-08-2022,adware_balanced,0.05,2,,,,,,,,6.237,6.17,6.246,6.185
12-08-2022,adware_balanced,0.05,2,,,,,,,,8.995,12.531,12.596,9.616
12-09-2022,adware_balanced,0.05,2,,,,,,,,7.883,8.05,7.641,7.663
14-09-2022,adware_balanced,0.05,2,5.307,1.399,7.148,3.756,0.6,2.418,,2.025,2.2,2.96,2.03
10-08-2022,adware_balanced,0.1,2,,,,,,,,6.367,6.244,6.203,6.29
12-08-2022,adware_balanced,0.1,2,,,,,,,,10.418,11.337,9.957,10.195
12-09-2022,adware_balanced,0.1,2,,,,,,,,8.545,8.467,8.493,8.24
14-09-2022,adware_balanced,0.1,2,5.307,1.987,7.552,4.725,0.747,2.788,,2.461,3.403,3.414,2.834
10-08-2022,adware_balanced,0.2,2,,,,,,,,6.279,6.338,6.389,6.355
12-08-2022,adware_balanced,0.2,2,,,,,,,,10.36,10.753,12.061,14.895
12-09-2022,adware_balanced,0.2,2,,,,,,,,9.208,8.934,9.132,9.092
14-09-2022,adware_balanced,0.2,2,5.307,2.819,8.233,5.149,1.362,3.632,,3.243,3.508,3.557,3.707
10-08-2022,adware_balanced,0.3,2,,,,,,,,6.34,6.551,6.388,6.461
12-08-2022,adware_balanced,0.3,2,,,,,,,,10.879,10.947,11.534,11.405
12-09-2022,adware_balanced,0.3,2,,,,,,,,10.07,9.631,9.937,9.902
14-09-2022,adware_balanced,0.3,2,5.307,3.031,8.687,5.601,1.912,4.275,,3.756,3.95,4.03,4.263
12-08-2022,adware_balanced,0.5,2,,,,,,,,12.335,12.178,13.094,
12-09-2022,adware_balanced,0.5,2,,,,,,,,10.902,10.473,10.868,
08-08-2022,adware_balanced - dm parallel,0.02,2,,,,,,,,6.987,7.678,8.023,7.733
08-08-2022,adware_balanced - dm parallel,0.05,2,,,,,,,,9.013,9.288,8.898,8.085
08-08-2022,adware_balanced - dm parallel,0.1,2,,,,,,,,8.173,8.086,7.742,7.758
08-08-2022,adware_balanced - dm parallel,0.2,2,,,,,,,,7.733,7.659,7.756,7.915
08-08-2022,adware_balanced - dm parallel,0.3,2,,,,,,,,7.957,7.933,,12.495
11-09-2022,adware_balanced - hellinger dist only,0.02,2,,,,,,,,2.227,1.543,2.249,1.936
11-09-2022,adware_balanced - hellinger dist only,0.05,2,,,,,,,,2.191,3.514,3.394,2.682
11-09-2022,adware_balanced - hellinger dist only,0.1,2,,,,,,,,4.29,4.094,3.706,3.535
